Car Name,Location,Company Name,Make,Model,Color,Price,Manufacture Year,Link
Mercedes-Benz M Class 2015 Gray,"Lagos, Lekki",E-YOUNG SERVICES LTD,Mercedes-Benz,M Class,,"₦ 33,500,000",2015,https://jiji.ng/lekki/cars/mercedes-benz-m-class-2015-gray-8aHdUZoNFmX2fA5zyBXuiJ0Z.html?page=1&pos=16&cur_pos=16&ads_per_page=22&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=15
Mercedes-Benz GLK-Class 350 4MATIC 2010 Black,"Lagos, Amuwo-Odofin",Road Master,Mercedes-Benz,GLK-Class,,"₦ 17,500,000",2010,https://jiji.ng/amuwo-odofin/cars/mercedes-benz-glk-class-350-4matic-2010-black-ieZLHKmKwNsH7QR8Ka9lAMmB.html?page=1&pos=17&cur_pos=17&ads_per_page=22&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=16
Mercedes-Benz GLC-Class 2018 Black,"Lagos, Apapa",GRANT AUTO GROUP,Mercedes-Benz,GLC-Class,Black,"₦ 42,000,000",2018,https://jiji.ng/apapa/cars/mercedes-benz-glc-class-2018-black-n0nP10NMe5VsZH2Utw804V6n.html?page=1&pos=18&cur_pos=18&ads_per_page=22&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=17
Mercedes-Benz GLC-Class 2018 White,"Lagos, Apapa",Divine Star Global Link,Mercedes-Benz,GLC-Class,White,"₦ 39,000,000",2018,https://jiji.ng/apapa/cars/mercedes-benz-glc-class-2018-white-b6eLzNoupkLVLPyoJifA9Yei.html?page=1&pos=19&cur_pos=19&ads_per_page=22&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=18
Mercedes-Benz GLK-Class 2011 Black,"Lagos, Amuwo-Odofin",SUNEZ MICHEAL MOTORS,Mercedes-Benz,GLK-Class,Black,"₦ 17,000,000",2011,https://jiji.ng/amuwo-odofin/cars/mercedes-benz-glk-class-2011-black-v49tYfXnGqxTGfhMUURMaJpv.html?page=1&pos=20&cur_pos=20&ads_per_page=22&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=19
Mercedes-Benz GLE-Class 2017 Blue,"Lagos, Apapa",LINER LUXURY,Mercedes-Benz,GLE-Class,Blue,"₦ 38,500,000",2017,https://jiji.ng/apapa/cars/mercedes-benz-gle-class-2017-blue-2BPjAWPOylnPIb2LefPNO4X7.html?page=1&pos=21&cur_pos=21&ads_per_page=22&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=20
Mercedes-Benz GLC-Class 2017 Blue,"Lagos, Apapa",STAR GLOBAL LINK,Mercedes-Benz,GLC-Class,Blue,"₦ 43,000,000",2017,https://jiji.ng/apapa/cars/mercedes-benz-glc-class-2017-blue-nNUkqUKVFdseTB6r6CDwujTo.html?page=1&pos=22&cur_pos=22&ads_per_page=22&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=21
Mercedes-Benz CLA-Class CLA 250 4MATIC Sedan 2014 Black,"Lagos, Ikeja",Batem Autos Limited,Mercedes-Benz,CLA-Class,,"₦ 19,900,000",2014,https://jiji.ng/ikeja/cars/mercedes-benz-cla-class-cla-250-4matic-sedan-2014-black-mBa7ai2zqIUZuHCRSazVQpa3.html?page=2&pos=1&cur_pos=1&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=22
Mercedes-Benz GLE-Class GLE 350 2018 Silver,"Lagos, Ikeja",Batem Autos Limited,Mercedes-Benz,GLE-Class,Silver,"₦ 39,800,000",2018,https://jiji.ng/ikeja/cars/mercedes-benz-gle-class-gle-350-2018-silver-qgAvQZLKEL3rkjLqku8KdjF7.html?page=2&pos=2&cur_pos=2&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=23
Mercedes-Benz C300 2015 Black,"Lagos, Ikeja",Batem Autos Limited,Mercedes-Benz,C300,,"₦ 27,300,000",2015,https://jiji.ng/ikeja/cars/mercedes-benz-c300-2015-black-ap8aNxkeFxBVUXDfArvqTIPZ.html?page=2&pos=3&cur_pos=3&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=24
