Car Name,Location,Company Name,Make,Model,Color,Price,Manufacture Year,Link
Mercedes-Benz M Class ML 350 4Matic 2013 Gray,"Lagos, Ikeja",Jmaheel Motorz,Mercedes-Benz,M Class,,"₦ 29,000,000",2013,https://jiji.ng/ikeja/cars/mercedes-benz-m-class-ml-350-4matic-2013-gray-Bsy7UEkxjZe2fVasiwnYt0Lh.html?page=3&pos=16&cur_pos=16&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=60
Mercedes-Benz GLK-Class 350 4MATIC 2013 Black,"Lagos, Apapa",Zubis Motors,Mercedes-Benz,GLK-Class,,"₦ 22,500,000",2013,https://jiji.ng/apapa/cars/mercedes-benz-glk-class-350-4matic-2013-black-p9zsMk8aG9scPF3h6IO7Qt6Q.html?page=3&pos=17&cur_pos=17&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=61
Mercedes-Benz GLC-Class 2017 Burgundy,"Lagos, Apapa",The_Apostles_Autos,Mercedes-Benz,GLC-Class,,"₦ 45,500,000",2017,https://jiji.ng/apapa/cars/mercedes-benz-glc-class-2017-burgundy-Bba96qFVy83xsqATjrD4T8yP.html?page=3&pos=18&cur_pos=18&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=62
Mercedes-Benz GLA 250 2016 Gray,"Lagos, Apapa",cush autos,Mercedes-Benz,GLA 250,Gray,"₦ 30,000,000",2016,https://jiji.ng/apapa/cars/mercedes-benz-gla-250-2016-gray-sA5HrDFK6I8ZxZd5QxS07G4J.html?page=3&pos=19&cur_pos=19&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=63
Mercedes-Benz GLC-Class 2017 Gray,"Lagos, Apapa",O'shea Autolinks,Mercedes-Benz,GLC-Class,Gray,"₦ 38,700,000",2017,https://jiji.ng/apapa/cars/mercedes-benz-glc-class-2017-gray-1tIx4VTn7NddmjwEPfEtLNjc.html?page=3&pos=20&cur_pos=20&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=64
Mercedes-Benz M Class 2014 Blue,"Lagos, Apapa",Divine Star Global Link,Mercedes-Benz,M Class,,"₦ 24,500,000",2014,https://jiji.ng/apapa/cars/mercedes-benz-m-class-2014-blue-uP646A0ShDuvdGwCP3Xx1yJ8.html?page=3&pos=21&cur_pos=21&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=65
Mercedes-Benz GLE-Class GLE 350 4MATIC 2020 Black,"Lagos, Magodo",Bubu Auto,Mercedes-Benz,GLE-Class,,"₦ 91,000,000",2020,https://jiji.ng/magodo/cars/mercedes-benz-gle-class-gle-350-4matic-2020-black-hFjoC9gONtFQjAPGycU721qi.html?page=3&pos=22&cur_pos=22&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=66
Mercedes-Benz GLE-Class GLE 350d 4MATIC 2017 Gold,"Lagos, Apapa",JKA AUTOS,Mercedes-Benz,GLE-Class,,"₦ 48,000,000",2017,https://jiji.ng/apapa/cars/mercedes-benz-gle-class-gle-350d-4matic-2017-gold-BzbqEq6hCY0YfCnQItW6OE7z.html?page=3&pos=23&cur_pos=23&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=67
Mercedes-Benz GLA-Class 2016 White,"Lagos, Ikeja",Batem Autos Limited,Mercedes-Benz,GLA-Class,,"₦ 27,900,000",2016,https://jiji.ng/ikeja/cars/mercedes-benz-gla-class-2016-white-wcyo5FtY0LjQ1KoorypRpXjS.html?page=4&pos=1&cur_pos=1&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=68
Mercedes-Benz GLA-Class 2015 White,"Lagos, Ikeja",Batem Autos Limited,Mercedes-Benz,GLA-Class,,"₦ 25,900,000",2015,https://jiji.ng/ikeja/cars/mercedes-benz-gla-class-2015-white-umLP1w1Sob2hW98VlehXFEsC.html?page=4&pos=2&cur_pos=2&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=69
Mercedes-Benz GLA-Class 2015 Brown,"Lagos, Ikeja",Batem Autos Limited,Mercedes-Benz,GLA-Class,,"₦ 26,800,000",2015,https://jiji.ng/ikeja/cars/mercedes-benz-gla-class-2015-brown-fF49kiaH9UBv04nVjGViJTpF.html?page=4&pos=3&cur_pos=3&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=70
Mercedes-Benz GLC-Class 2017 Black,"Lagos, Lekki",Norda Deals,Mercedes-Benz,GLC-Class,,"₦ 35,000,000",2017,https://jiji.ng/lekki/cars/mercedes-benz-glc-class-2017-black-dYg6NFt1gOIALR2Lwo1tViCW.html?page=4&pos=4&cur_pos=4&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=71
Mercedes-Benz CLA-Class CLA 250 4MATIC Sedan 2015 Silver,"Abuja, Kubwa",UGOKINGS AUTOMOBILE,Mercedes-Benz,CLA-Class,,"₦ 20,500,000",2015,https://jiji.ng/kubwa/cars/mercedes-benz-cla-class-cla-250-4matic-sedan-2015-silver-swBjuOLrzL7EySBVn74bU7Fc.html?page=4&pos=5&cur_pos=5&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=72
Mercedes-Benz GLE-Class AMG GLE 43 4MATIC 2018 Blue,"Lagos, Amuwo-Odofin",DC AUTOS,Mercedes-Benz,GLE-Class,,"₦ 95,000,000",2018,https://jiji.ng/amuwo-odofin/cars/mercedes-benz-gle-class-amg-gle-43-4matic-2018-blue-a4OBEYTzIOYWmxLr28i5ZT19.html?page=4&pos=6&cur_pos=6&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=73
Mercedes-Benz GLE-Class 2017 White,"Lagos, Amuwo-Odofin",Tega..,Mercedes-Benz,GLE-Class,White,"₦ 39,900,000",2017,https://jiji.ng/amuwo-odofin/cars/mercedes-benz-gle-class-2017-white-uqS8lMLZgnuneGxJuoMYbhtx.html?page=4&pos=7&cur_pos=7&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=74
Mercedes-Benz GLE-Class AMG GLE 43 4MATIC 2018 White,"Lagos, Amuwo-Odofin",Ernest Obi,Mercedes-Benz,GLE-Class,,"₦ 76,000,000",2018,https://jiji.ng/amuwo-odofin/cars/mercedes-benz-gle-class-amg-gle-43-4matic-2018-white-sfh3vckKerUS34VIvXTNzfEW.html?page=4&pos=8&cur_pos=8&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=75
Mercedes-Benz M Class ML 350 4Matic 2013 Silver,"Lagos, Amuwo-Odofin",Iyke Collins,Mercedes-Benz,M Class,,"₦ 25,500,000",2013,https://jiji.ng/amuwo-odofin/cars/mercedes-benz-m-class-ml-350-4matic-2013-silver-pexCFm4s6D6JW2rHyEQLKjKM.html?page=4&pos=9&cur_pos=9&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=76
Mercedes-Benz M Class 2015 Black,"Lagos, Amuwo-Odofin",Chiboy Autos Ltd,Mercedes-Benz,M Class,Black,"₦ 29,000,000",2015,https://jiji.ng/amuwo-odofin/cars/mercedes-benz-m-class-2015-black-fN9RhkFXNyCF5BjFbKy88N8X.html?page=4&pos=10&cur_pos=10&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=77
Mercedes-Benz GLE-Class 2017 Gray,"Lagos, Apapa",Divine Star Global Link,Mercedes-Benz,GLE-Class,Gray,"₦ 43,000,000",2017,https://jiji.ng/apapa/cars/mercedes-benz-gle-class-2017-gray-pXpc61QZN2wCApHBYSfiqovz.html?page=4&pos=11&cur_pos=11&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=78
Mercedes-Benz GLC-Class 2017 Gray,"Lagos, Apapa",S-A SUPERBMAX AUTOS,Mercedes-Benz,GLC-Class,,"₦ 45,000,000",2017,https://jiji.ng/apapa/cars/mercedes-benz-glc-class-2017-gray-XLoGodMDKj3fh8HVfNYoTBh.html?page=4&pos=12&cur_pos=12&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=79
Mercedes-Benz M Class 2015 White,"Lagos, Amuwo-Odofin",Jude investment ltd,Mercedes-Benz,M Class,,"₦ 28,000,000",2015,https://jiji.ng/amuwo-odofin/cars/mercedes-benz-m-class-2015-white-iToOlrnq40ZUnR1pZUgbMwVd.html?page=4&pos=13&cur_pos=13&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=80
Mercedes-Benz M Class 2014 Silver,"Lagos, Apapa",Luchy Cars,Mercedes-Benz,M Class,,"₦ 32,000,000",2014,https://jiji.ng/apapa/cars/mercedes-benz-m-class-2014-silver-8iJwxvupd4hzQQSydZ6qSueP.html?page=4&pos=14&cur_pos=14&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=81
Mercedes-Benz M Class 2015 Gray,"Lagos, Apapa",Calix Motors,Mercedes-Benz,M Class,Gray,"₦ 32,000,000",2015,https://jiji.ng/apapa/cars/mercedes-benz-m-class-2015-gray-jWa7tDdSioe3unoIcbSc6Q4l.html?page=4&pos=15&cur_pos=15&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=82
Mercedes-Benz GLC-Class 2017 White,"Lagos, Apapa",The_Apostles_Autos,Mercedes-Benz,GLC-Class,,"₦ 38,500,000",2017,https://jiji.ng/apapa/cars/mercedes-benz-glc-class-2017-white-A0T4eMnlpz0LMRC1opYAr6qs.html?page=4&pos=16&cur_pos=16&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=83
Mercedes-Benz M Class 2014 Blue,"Lagos, Apapa",TOSHIBA MOTORS,Mercedes-Benz,M Class,,"₦ 28,000,000",2014,https://jiji.ng/apapa/cars/mercedes-benz-m-class-2014-blue-9SNbyJpLOxN62b12eXFz0M2R.html?page=4&pos=17&cur_pos=17&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=84
Mercedes-Benz GLC-Class 2016 Black,"Lagos, Apapa",JKA AUTOS,Mercedes-Benz,GLC-Class,,"₦ 39,500,000",2016,https://jiji.ng/apapa/cars/mercedes-benz-glc-class-2016-black-xx5kKD4CEoUZ1OadARC6UVEH.html?page=4&pos=18&cur_pos=18&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=85
Mercedes-Benz GLC-Class 2017 White,"Lagos, Surulere",Scrollfield enterprise,Mercedes-Benz,GLC-Class,White,"₦ 39,850,000",2017,https://jiji.ng/surulere/cars/mercedes-benz-glc-class-2017-white-eNTfAcnEvgqBtFLvmap531jf.html?page=4&pos=19&cur_pos=19&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=86
Mercedes-Benz M Class 2014 Black,"Lagos, Amuwo-Odofin",Chipexzy Motors,Mercedes-Benz,M Class,,"₦ 30,500,000",2014,https://jiji.ng/amuwo-odofin/cars/mercedes-benz-m-class-2014-black-64y3EsrWloIPG34aFEZvyCTu.html?page=4&pos=20&cur_pos=20&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=87
Mercedes-Benz GLC-Class 2017 Black,"Lagos, Amuwo-Odofin",TWINS MOTORS,Mercedes-Benz,GLC-Class,,"₦ 45,500,000",2017,https://jiji.ng/amuwo-odofin/cars/mercedes-benz-glc-class-2017-black-uh9pILeIMSR5wHfNadniupBV.html?page=4&pos=21&cur_pos=21&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=88
Mercedes-Benz GLC-Class 2016 Red,"Lagos, Agege",Ibrahim Abdulazeez,Mercedes-Benz,GLC-Class,Red,"₦ 39,000,000",2016,https://jiji.ng/agege/cars/mercedes-benz-glc-class-2016-red-6iPGCKnIFtTPtzGy8n0ocbGn.html?page=4&pos=22&cur_pos=22&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=89
Mercedes-Benz M Class 2014 Black,"Lagos, Apapa",OCHUKS AUTO GLOBAL LTD,Mercedes-Benz,M Class,Black,"₦ 26,500,000",2014,https://jiji.ng/apapa/cars/mercedes-benz-m-class-2014-black-7VIIBoR9GjHuBCBzF38D2u2o.html?page=4&pos=23&cur_pos=23&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=90
Mercedes-Benz GLC-Class 2020 Gray,"Lagos, Ikeja",Batem Autos Limited,Mercedes-Benz,GLC-Class,Gray,"₦ 59,700,000",2020,https://jiji.ng/ikeja/cars/mercedes-benz-glc-class-2020-gray-hZnIv2hqmHmBf9bruSAdyMmu.html?page=5&pos=1&cur_pos=1&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=91
Mercedes-Benz GLS-Class GLS450 4MATIC 2018 Black,"Lagos, Ikeja",Batem Autos Limited,Mercedes-Benz,GLS-Class,,"₦ 57,600,000",2018,https://jiji.ng/ikeja/cars/mercedes-benz-gls-class-gls450-4matic-2018-black-ieSaFAUoJamF8q7wf5KUfKqZ.html?page=5&pos=2&cur_pos=2&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=92
Mercedes-Benz GLA-Class 2016 Gray,"Lagos, Ikeja",Batem Autos Limited,Mercedes-Benz,GLA-Class,,"₦ 27,800,000",2016,https://jiji.ng/ikeja/cars/mercedes-benz-gla-class-2016-gray-kIxJNnd90l9U5C6PB8e8L8Mg.html?page=5&pos=3&cur_pos=3&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=93
Mercedes-Benz GLE-Class GLE 350 4MATIC 2021 White,"Lagos, Ikeja",Ardo Cars,Mercedes-Benz,GLE-Class,,"₦ 96,000,000",2021,https://jiji.ng/ikeja/cars/mercedes-benz-gle-class-gle-350-4matic-2021-white-k7QsdVAbr22EQOLKmBds6SEb.html?page=5&pos=4&cur_pos=4&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=94
Mercedes-Benz C400 2016 Gray,"Abuja, Gwarinpa",Best Odudu-Emmanuel,Mercedes-Benz,C400,Gray,"₦ 35,000,000",2016,https://jiji.ng/gwarinpa/cars/mercedes-benz-c400-2016-gray-u8YL6LEL0Y1wEM1h1UGdYq9y.html?page=5&pos=5&cur_pos=5&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=95
Mercedes-Benz C300 2013 Silver,"Lagos, Lekki",carnova luxury,Mercedes-Benz,C300,,"₦ 14,500,000",2013,https://jiji.ng/lekki/cars/mercedes-benz-c300-2013-silver-nsLuWbpMBdkgs0Ck3M05aPpC.html?page=5&pos=6&cur_pos=6&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=96
Mercedes-Benz GLK-Class 2013 Blue,"Lagos, Surulere",Opeyemi’s Autos,Mercedes-Benz,GLK-Class,Blue,"₦ 22,500,000",2013,https://jiji.ng/surulere/cars/mercedes-benz-glk-class-2013-blue-xygLiBGzEmgqTskYXcXkUC5l.html?page=5&pos=7&cur_pos=7&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=97
Mercedes-Benz M Class 2014 Black,"Lagos, Lekki",Ayo Afolabi,Mercedes-Benz,M Class,Black,"₦ 23,000,000",2014,https://jiji.ng/lekki/cars/mercedes-benz-m-class-2014-black-ozja8wi6yJ2dqgIT5S4lJoc8.html?page=5&pos=8&cur_pos=8&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=98
Mercedes-Benz M Class 2015 Black,"Lagos, Ajah",Afolabi Abefe,Mercedes-Benz,M Class,,"₦ 30,000,000",2015,https://jiji.ng/ajah/cars/mercedes-benz-m-class-2015-black-A6P1dcNpJNjj61ecNMeHviNd.html?page=5&pos=9&cur_pos=9&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=99
Mercedes-Benz GLK-Class 2011 Black,"Lagos, Apapa",Smart Motors Limited,Mercedes-Benz,GLK-Class,Black,"₦ 17,000,000",2011,https://jiji.ng/apapa/cars/mercedes-benz-glk-class-2011-black-nG2EVlWa22XuMf5ABHnPHpKr.html?page=5&pos=10&cur_pos=10&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=100
Mercedes-Benz GLC-Class 2016 Red,"Lagos, Amuwo-Odofin",Chinonyerem Ohaegbu,Mercedes-Benz,GLC-Class,,"₦ 36,000,000",2016,https://jiji.ng/amuwo-odofin/cars/mercedes-benz-glc-class-2016-red-cwSOUMcOxMFuDpJDIIS3YzWW.html?page=5&pos=11&cur_pos=11&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=101
Mercedes-Benz GLK-Class 350 4MATIC 2012 Silver,"Lagos, Amuwo-Odofin",williansmoses autos,Mercedes-Benz,GLK-Class,,"₦ 18,500,000",2012,https://jiji.ng/amuwo-odofin/cars/mercedes-benz-glk-class-350-4matic-2012-silver-xb5nVsRKHfGIJyq60NKnJ7Fq.html?page=5&pos=12&cur_pos=12&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=102
Mercedes-Benz M Class ML 350 4Matic 2012 White,"Lagos, Amuwo-Odofin",Young Dollar Autos,Mercedes-Benz,M Class,,"₦ 26,500,000",2012,https://jiji.ng/amuwo-odofin/cars/mercedes-benz-m-class-ml-350-4matic-2012-white-nuxjasPFLpIEGEQkGKtl4YCV.html?page=5&pos=13&cur_pos=13&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=103
Mercedes-Benz M Class 2014 Brown,"Lagos, Apapa",S-A SUPERBMAX AUTOS,Mercedes-Benz,M Class,Brown,"₦ 32,000,000",2014,https://jiji.ng/apapa/cars/mercedes-benz-m-class-2014-brown-gpfKR57two1fM2iZmxX0rCDs.html?page=5&pos=14&cur_pos=14&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=104
Mercedes-Benz M Class 2014 Black,"Lagos, Apapa",O'shea Autolinks,Mercedes-Benz,M Class,,"₦ 26,500,000",2014,https://jiji.ng/apapa/cars/mercedes-benz-m-class-2014-black-eK4WFicB47NjjdcFJrpBbAkA.html?page=5&pos=15&cur_pos=15&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=105
Mercedes-Benz GLC-Class 2018 White,"Lagos, Apapa",STAR GLOBAL LINK,Mercedes-Benz,GLC-Class,White,"₦ 37,000,000",2018,https://jiji.ng/apapa/cars/mercedes-benz-glc-class-2018-white-sXgr1BosgR8SC63ZeHBI8fO.html?page=5&pos=16&cur_pos=16&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=106
Mercedes-Benz GLK-Class 350 2010 Blue,"Lagos, Apapa",God is good autos ltd,Mercedes-Benz,GLK-Class,,"₦ 16,000,000",2010,https://jiji.ng/apapa/cars/mercedes-benz-glk-class-350-2010-blue-fzGMd0yAtoIyjscgRLYZDXSm.html?page=5&pos=17&cur_pos=17&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=107
Mercedes-Benz GLC-Class 2017 Gray,"Lagos, Amuwo-Odofin",DE MOON AUTO'S,Mercedes-Benz,GLC-Class,Gray,"₦ 39,000,000",2017,https://jiji.ng/amuwo-odofin/cars/mercedes-benz-glc-class-2017-gray-WADps80GNWDvdjm6AgGF8cc.html?page=5&pos=18&cur_pos=18&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=108
Mercedes-Benz M Class 2015 Gray,"Lagos, Apapa",Chukwu Ebuka Motors,Mercedes-Benz,M Class,,"₦ 26,500,000",2015,https://jiji.ng/apapa/cars/mercedes-benz-m-class-2015-gray-5a3gfZ2ytUCg3lykBROQDjd0.html?page=5&pos=19&cur_pos=19&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=109
Mercedes-Benz GLK-Class 350 4MATIC 2014 Black,"Lagos, Apapa",STAR GLOBAL LINK,Mercedes-Benz,GLK-Class,,"₦ 23,000,888",2014,https://jiji.ng/apapa/cars/mercedes-benz-glk-class-350-4matic-2014-black-aK39osnwcmYss5EqAlpCbwUg.html?page=5&pos=20&cur_pos=20&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=110
Mercedes-Benz GLK-Class 350 4MATIC 2013 Gray,"Lagos, Apapa",GOZIE CARS,Mercedes-Benz,GLK-Class,,"₦ 23,000,000",2013,https://jiji.ng/apapa/cars/mercedes-benz-glk-class-350-4matic-2013-gray-6EsIcCJ8nRA0ZUT2n7C9biAo.html?page=5&pos=21&cur_pos=21&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=111
Mercedes-Benz M Class ML 550 4Matic 2012 White,"Lagos, Apapa",GOZIE CARS,Mercedes-Benz,M Class,,"₦ 28,300,000",2012,https://jiji.ng/apapa/cars/mercedes-benz-m-class-ml-550-4matic-2012-white-mBUk1IQKSWnR1unZY8gQjNXV.html?page=5&pos=22&cur_pos=22&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=112
Mercedes-Benz GLK-Class 2011 Gray,"Lagos, Apapa",Chiboy Autos Ltd,Mercedes-Benz,GLK-Class,Gray,"₦ 17,500,000",2011,https://jiji.ng/apapa/cars/mercedes-benz-glk-class-2011-gray-rW94sP1Bs7jGo2LUDH0Q1iSA.html?page=5&pos=23&cur_pos=23&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=113
Mercedes-Benz GLE-Class 2017 Blue,"Lagos, Ikeja",Batem Autos Limited,Mercedes-Benz,GLE-Class,Blue,"₦ 39,700,000",2017,https://jiji.ng/ikeja/cars/mercedes-benz-gle-class-2017-blue-a6EUeDRyA5QBOz49pWEOMbkQ.html?page=6&pos=1&cur_pos=1&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=114
Mercedes-Benz E300 2017 Blue,"Lagos, Ikeja",Batem Autos Limited,Mercedes-Benz,E300,,"₦ 38,900,000",2017,https://jiji.ng/ikeja/cars/mercedes-benz-e300-2017-blue-jH41KYgVrFEzXwWtVUkwAzIN.html?page=6&pos=2&cur_pos=2&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=115
Mercedes-Benz GLE-Class GLE 350 2016 Blue,"Lagos, Ikeja",Batem Autos Limited,Mercedes-Benz,GLE-Class,Blue,"₦ 41,700,000",2016,https://jiji.ng/ikeja/cars/mercedes-benz-gle-class-gle-350-2016-blue-f0kWDDJG0VhMgByKwxICPYrj.html?page=6&pos=3&cur_pos=3&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=116
Mercedes-Benz GLE-Class GLE 350 2017 Blue,"Lagos, Alimosho",Dajibola global links limited,Mercedes-Benz,GLE-Class,Blue,"₦ 36,000,000",2017,https://jiji.ng/alimosho/cars/mercedes-benz-gle-class-gle-350-2017-blue-wgGZBbfy9Zd9AFmlj9ScYIaU.html?page=6&pos=4&cur_pos=4&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=117
Mercedes-Benz C300 2008 Black,"Ogun, Ijebu Ode",Promise Promise,Mercedes-Benz,C300,,"₦ 6,600,000",2008,https://jiji.ng/ijebu-ode/cars/mercedes-benz-c300-2008-black-f6KPWeTk0LiG3BXijEZ8xqdV.html?page=6&pos=5&cur_pos=5&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=118
Mercedes-Benz M Class 2015 Silver,"Lagos, Lekki",Sunsem Auto,Mercedes-Benz,M Class,,"₦ 27,500,000",2015,https://jiji.ng/lekki/cars/mercedes-benz-m-class-2015-silver-hMdyrn2ab7lcyQcxqzpK5X73.html?page=6&pos=6&cur_pos=6&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=119
Mercedes-Benz M Class ML 350 4Matic 2012 Blue,"Lagos, Lekki",Dipo Osunsanya,Mercedes-Benz,M Class,,"₦ 28,000,000",2012,https://jiji.ng/lekki/cars/mercedes-benz-m-class-ml-350-4matic-2012-blue-rGbTXde29ZnWbKCdIKfJohmQ.html?page=6&pos=7&cur_pos=7&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=120
Mercedes-Benz GLA-Class 2015 White,"Lagos, Ikeja",Magautos (Mainland Auto Giant),Mercedes-Benz,GLA-Class,,"₦ 28,700,000",2015,https://jiji.ng/ikeja/cars/mercedes-benz-gla-class-2015-white-s0MBwcZikUxEP13MmZXKjmD.html?page=6&pos=8&cur_pos=8&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=121
Mercedes-Benz C250 2013 Black,"Ondo, Akure",Timmy Isaac,Mercedes-Benz,C250,Black,"₦ 12,300,000",2013,https://jiji.ng/akure-south/cars/mercedes-benz-c250-2013-black-b4qVOTmfyIH9TCJtOuFQZ2lV.html?page=6&pos=9&cur_pos=9&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=122
Mercedes-Benz GLC-Class 2017 Black,"Lagos, Apapa",Divine Star Global Link,Mercedes-Benz,GLC-Class,,"₦ 38,000,000",2017,https://jiji.ng/apapa/cars/mercedes-benz-glc-class-2017-black-mzNyoimfzj0tRWx0nnsXKdP7.html?page=6&pos=10&cur_pos=10&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=123
Mercedes-Benz M Class 2014 Black,"Lagos, Lekki",Valres property & Autos,Mercedes-Benz,M Class,,"₦ 24,500,000",2014,https://jiji.ng/lekki/cars/mercedes-benz-m-class-2014-black-ps6MbPcTBwQtTKkoZJO0Ibz7.html?page=6&pos=11&cur_pos=11&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=124
Mercedes-Benz GLC-Class 2018 Blue,"Lagos, Lekki",NLPosh Cars Nig,Mercedes-Benz,GLC-Class,Blue,"₦ 39,000,000",2018,https://jiji.ng/lekki/cars/mercedes-benz-glc-class-2018-blue-cLK3og3AHkafkjeAKS15upUo.html?page=6&pos=12&cur_pos=12&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=125
Mercedes-Benz GLK-Class 350 4MATIC 2011 Black,"Lagos, Agege",Kio Autos,Mercedes-Benz,GLK-Class,,"₦ 18,000,000",2011,https://jiji.ng/agege/cars/mercedes-benz-glk-class-350-4matic-2011-black-pthDREBrgcFeZSQXO0RxO2UL.html?page=6&pos=13&cur_pos=13&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=126
Mercedes-Benz GLC-Class 2016 Blue,"Lagos, Amuwo-Odofin",Innoheskey Motors,Mercedes-Benz,GLC-Class,,"₦ 39,000,000",2016,https://jiji.ng/amuwo-odofin/cars/mercedes-benz-glc-class-2016-blue-mo1SbzUn04RYF3kMh8lelzoE.html?page=6&pos=14&cur_pos=14&ads_per_page=23&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=127
